Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
In a Silent Way,Collin Levin,7.6,"Nicolai Dorian, Collin Levin, Nicholas Tuttle","A young jazz guitarist, Jazzen Goodman, dreams of becoming a jazz legend. He hires his best friend Dylan to film him on his journey through the jazz world.",1h 33m
What Men Don't Know About Women,No info,No info,"Nicolai Dorian, Collin Levin, Nicholas Tuttle",,45m
Break and Run,Brendan Gallogly,No info,Brendan Gallogly,,12m
Nur ein Augenblick,Malte Wirtz,No info,Malte Wirtz,"By accident Bastian meets Isabell in the elevator, he writes secretly his telephone number on one of her cigarettes. In the morning she smokes the cigarette and accidentally destroys the chance to contact him again. She goes to a radio station of which she knows he is listening to, but in the very second she talks on the radio to him he gets a phone call and doesn't h... Read all",11m
Pink Skies Ahead,Kelly Oxford,6.2,Kelly Oxford,A young woman struggles with an anxiety disorder after dropping out of school.,1h 34m
Manchurian Tiger,Jun Geng,5.6,"Jun Geng, Bing Liu",A man tries to sell his pet dog due to the birth of his child.,1h 58m
Pipe Dream,Ben McCullough,No info,"Ben Mc, Cullough",Slippy the Soap yearns for a life outside his bathtub. But when his dreams slip down the drain he's forced to journey through a wild and treacherous labyrinth.,7m
Bossy,No info,No info,"Ben Mc, Cullough","In the face of a demeaning request from her misogynistic boss, a hardworking young lawyer must decide whether to stick up for herself or keep living in her imagination.",4m
Losers Revolution,Thomas AncoraGrégory Beghin,5.8,Thomas Ancora,"Simon, Mehdi and Fred, 3 childhood friends are invited to the funeral of Juan, a former school mate, who has a last wish: he wants the boys to start a ""Losers Revolution"" and seek revenge on their high school bullies.",1h 29m
"Ok, está bien...",Gabriela Ivette Sandoval,7.2,Roberto Andrade Ceron,Mariano is a screenwriter who graduated from school six years ago and hasn't written a single script. Conflict begins when his cousin brings home a girlfriend who Mariano falls deeply in love with.,1h 31m
The Campaign,Marian Crisan,6.4,"Gabriel Andronache, Marian Crisan","A high-profile politician running for the EU Parliament meets a tractor driver, teaming up during the election campaign in a small Romanian town.",1h 33m
Vanity Project,André Mileti,No info,André Mileti,The hero of a terrible action film realizes he's fictional and tries to escape with the help of a mysterious filmmaker.,12m
Psycho Ape!,Addison Binek,6.3,"Stephen Albers, Addison Binek, Greg De, Liso",A killer gorilla escapes from the Detroit Zoo and goes on a murdering spree.,1h 4m
Apples,Christos Nikou,6.8,"Christos Nikou, Stavros Raptis","Amidst a worldwide pandemic that causes sudden amnesia, middle-aged Aris finds himself enrolled in a recovery program designed to help unclaimed patients build new identities.",1h 31m
Conversaciones,Eduardo M. Clorio,7.3,"Paco Arriagada, Karla Coronado, Idalia Damián Azcoitia",10 fantastic and dark conversations tell us the story of a Mexican family through the relations and conflicts of two brothers.,1h 37m
Mr. Psychiatrist,Dusty Mitchell,No info,Dusty Mitchell,"In an effort to get a quick fix to low confidence issues, Mr. Adler seeks the help of a counselor with questionable methods. It's all business as usual for Mr. Psychiatrist.",7m
Millennium Bugs,Alejandro Montoya Marín,7.4,Alejandro Montoya Marín,"Set in the days leading up to the year 2000, friends Kelly and Miguel - along with the rest of the world - find themselves facing mounting pressures and the harsh realities of their futures.",1h 30m
John Mortonson's Funeral,Abhishek Samariya,No info,Abhishek Samariya,"A surreal dark comedy, set at a funeral, narrated by a cat.",11m
Zeen?,Calyx Passailaigue,No info,"Calyx Passailaigue, Richard Walters","Chad is a pretentious white Jamaican film director. With his ragtag Caribbean cast and crew, he aims to shoot a highbrow social drama called ""Brothers in Babylon.""",15m
Miss,Ruben Alves,6.4,"Élodie Namer, Ruben Alves, Cécilia Rouaud",A young man seeking his gender identity decides to take part in the Miss France beauty pageant.,1h 47m
I Need You Dead!,Rocko Zevenbergen,7.1,Rocko Zevenbergen,"After a moment of total teenage angst, a young punk finds himself at odds with a psychedelic monster of his own creation.",1h 47m
Scare Me,Josh Ruben,5.7,Josh Ruben,"During a power outage, two strangers tell scary stories. The more Fred and Fanny commit to their tales, the more the stories come to life in their Catskills cabin. The horrors of reality manifest when Fred confronts his ultimate fear.",1h 44m
Honesty Weekend,Leslie Thomas,4.1,Leslie Thomas,An ensemble relationship comedy about a young couple whose marriage is in crisis. Their therapist prescribes a weekend of total honesty - the same weekend they're going to the country with close friends for a blowout good time.,1h 30m
Teech and Bron,Analisa Robertson,No info,"Sandra Lucas, Sara Vitale","Two straight-laced female cops, on a stakeout, who get bored and decide to smoke a confiscated joint. They find themselves in an altered state and discover that they have more in common than they thought.",No info
Le voleur rose,Mustafa Ozgun,No info,Mustafa Ozgun,,No info
On the mind,Anastasi Soldatenkova,No info,Anastasi Soldatenkova,Two students rent an apartment in the city. Their meeting was happenstance. Freedom unfolds in a rather different way through the perspective of a roommate.,12m
At the Back,Gia Milani,No info,Gia Milani,"A surrealist, stylized, comedic short film about a disliked dead man as seen through the eyes of his equally disliked daughter-in-law. And shoes. A lot of shoes.",No info
Tout nous sourit,Mélissa Drigeard,5.4,"Mélissa Drigeard, Vincent Juillet","The members of an apparently happy couple, each with their respective lovers, have the same idea: spending the weekend at their holiday home. Finding each other there is only the beginning of an awkward and hilarious weekend.",1h 41m
The League of 5,Marvick Eduardo Núñez Aguilera,6.3,"Charbel Harp CalderoníAcán Coen, Andrew Foley","When his sister is kidnapped, Chema must recruit the starstruck, once-famous Mexican superheroes and form the ""League of 5"", and put a stop to the plans of a mastermind with pyrotechnic control.",1h 29m
Shades of the Ranebo,Harrison Houde,No info,"Harrison Houde, Dakota Daulby, Lino Meoli","An experimental exploration of an artist's innocence, BLUE finds a way to see the outside world for the first time with the help from an eccentric therapist.",10m
Red,Frances Wilkerson,No info,Frances Wilkerson,"Red, a once famous clown, lost his 6-year old son 2 years ago. He continues to blame himself for the loss. He is currently a small-time party clown, but the majority of the time he is too bitter and intoxicated to be effective.",18m
My Wonderful Wanda,Bettina Oberli,6.4,"Cooky Ziesche, Bettina Oberli, Thomas Ritter","Wanda, a Polish woman, takes care of 70-year-old Joseph in his family villa on the lake. She is always there for him and also helps his wife Elsa. The work is poorly paid, but Wanda needs the money for her family.",1h 51m
The Legend of Stella,Aileen Sheedy,No info,"Maren Curtis, Kevin Swanson","After a failed attempt to reconnect, a gamer's frustrated wife decides to build him a game of her own with real-life stakes.",No info
Fjols til fjells,Petter Holmsen,4.7,Karsten Fullu,"Everything that can go wrong goes wrong when care free ski bums, frustrated cabin owners, skiing Danes and partying youngsters team up on a Norwegian mountain resort with a very absent hotel manager.",1h 27m
The Prom,Ryan Murphy,5.9,"Bob Martin, Chad Beguelin, Matthew Sklar",A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high-school girl who wants to take her girlfriend to the prom.,2h 10m
Fair Haven,Samantha Nolte,No info,"Bobby Mc, Gruther","After being gone for eleven years, a burnt out hardcore vocalist returns to his small, New Jersey hometown, in the wake of his father's death during the holidays.",No info
Rebirth,Cole Ryan Brewer,No info,Jacob Douglas Wolfe,Three men stranded in the desert attempt to recreate Burning Man.,6m
The Players,Stefano Mordini,4.8,"Filippo Bologna, Riccardo Scamarcio, Stefano Mordini","From campy lies to sexy surprises, this collection of vignettes captures the follies of several men as they fumble with fidelity and relationships.",1h 28m
Fantasy,Kasey Quinn,No info,Kasey Quinn,Shelly's special night goes awry when an unexpected visitor arrives.,No info
Tyler,Joel Junior,6.7,Joel Junior,"Tyler is a hyper-intelligent 9-year-old boy, who has no shame on being himself. On an ordinary lunch, he talks about his new crush, causing an unexpected reaction on his older brother, Daniel.",15m
Pink Pool,Milda Baginskaite,No info,Milda Baginskaite,"When no one shows up at her birthday party, eighteen-year-old Agnès makes all the wrong choices.",11m
Huida del Nido,No info,No info,Milda Baginskaite,,No info
Achan and Ezra,Yan Fisher-Romanovsky,8.7,Omri Rose,"Two Jews in the holy land attempting to flee the chaos of the 3rd Crusade come across an unconscious Crusader on a lonely desert road, and a comedic encounter ensues as they debate whether to help him, kill him, or ignore him all together.",No info
The Love Prank,Brandon Colby Cook,No info,"Ray James, Violetta Pioro","Stuck in the friend zone, a young woman secretly attempts to win her BFF's heart by helping him hatch a scheme that will end his cheating fiancée's steamy affair.",14m
Bye Bye Morons,Albert Dupontel,6.7,"Albert Dupontel, Marcia Romano, Xavier Nemo",A seriously-ill woman tries to find her long-lost child with the help of a man in the middle of a burnout and a blind archivist.,1h 27m
#shootme,Jovan Atanackovic,No info,Jovan Atanackovic,"A 15 year old girl who wants to be a famous instagram model, a 35 year old guy with a fetish and how their worlds collide.",11m
The Last Roll,Dáire McNab,No info,"Dáire Mc, Nab",,1h 38m
Bruh.mp4,Andrew Burdette,5.1,Andrew Burdette,A death in his group of friends leads a young man to question his sanity.,1h 5m
Dive Under,Robin Flemgård,No info,Robin Flemgård,A young man discovers that his bathtub can be used as a teleporter.,10m
The Universe in Which I Loved You,Juanjo Martínez,No info,Juanjo Martínez,A man travels between parallel universes through his consciousness.,No info
Unit 23,Juanjo Martínez,No info,Juanjo Martínez,A group of police officers close to being fired will try to solve the murder of a young model.,No info
Life Undefined,Dan Whitehead,No info,Dan Whitehead,"Tom is a 20 something guy who just finds himself lost. He graduated from college where he followed his passion for four years, and now can't seem to convince anyone he's right for them. Through his struggles, Tom learns about the challenges of life, and the uncertainty of what's to come.",13m
Bad Day Sam,Dale Nicholls,No info,Dale Nicholls,"Absurdist dark comedy. A fevered fairy tale in five parts. Sam (Vivian Bang) is having a bad day. Violent haircut, fascist parents, Irish fentanyl dealer, nightmare first date. Sam needs a win.",No info
"Oh, Baby!",Brooke Trantor,No info,"Kate Morgan Chadwick, Brooke Trantor",Jane is on the hunt for a rockin' one-night stand before an impending arrival.,No info
What Bitch?,Julian Acosta,5.9,"Julian Acosta, Antonio Macia",An argument between two families in a thrift store erupts into a full-scale brawl.,8m
Paapam Cheyyathavar Kalleriyatte,Shambhu Purushothaman,5.8,Shambhu Purushothaman,"Christians believe that marriages are made in heaven. It is a satirical take on the belief, which is reinforced through marriage rituals, about the Christian marriage and the reality of it as seen around us.",1h 57m
Serious Men,Sudhir MishraSachin Krishn,6.8,"Niren Bhatt, Manu Joseph, Abhijeet Khuman","Tormented with his 'under-privileged' societal status, a father capitalizes on his son's newfound fame as a boy-genius. Little does he realize that the secret he harbors will destroy the very thing he loves the most.",1h 54m
Still Today,Tommy Walton,5.6,Jody Thompson,"After being left at the altar, Pete's groomsman give him a wedding gift he'll never forget. An escort. Maybe it's the Lunar Eclipse, maybe it's fate, but after a magical night in the city maybe this girl is what Pete needed all along.",1h 22m
Les blagues de Toto,Pascal Bourdiaux,3.9,"Julien Leimdorfer, Gaël Leforestier, Mathias Gavarry","Back-to-school. For troublemaker Toto, it's the best place for fooling around. But when a sculpture collapses during the opening of a museum, Toto is immediately blamed, and now he has to prove his innocence.",1h 24m
Ett hett rum,Andreas Mortensen,No info,Andreas Mortensen,Benjamin has traveled to the underworld for a chance to see his dead girlfriend again.,9m
"Love, Weddings & Other Disasters",Dennis Dugan,4.8,"Eileen Conn, Dennis Dugan, Larry Miller","It is a multi-story romantic comedy about the people who work on weddings to create the perfect day for a loving couple - while their own relationships are outlandish, odd, crazy and far from perfect.",1h 36m
We All Just Want to Be Mad,Flora Tennant,No info,Flora Tennant,"Arabella has her eye on Fred which means it's not easy. So when she (and Fred) attend the Tall Man's party, she is self conscious. Afterwards, to make herself feel better, she invites Eve round for her version of a party. And of course it's easy around Eve. So with a wave of self assuredness, she invites Fred round. But again she is self-conscious around him. So Arabe... Read all",20m
Only Plastics and Diamonds Are Forever,Stefánia Lovasová,No info,Stefánia Lovasová,Short drama with elements of comedy exposing author's point of view on contemporary communication and relationships issues.,25m
Hullor,Abhimanyu Mukherjee,4.3,Abhimanyu Mukherjee,A grocery store in a north Kolkata neighbourhood stands in the way of developers looking to build a mall there. The film follows a group as they seek to save the shop from being razed.,2h 8m
Sofa Queen,Jenny Kleiman,No info,Jenny Kleiman,"When an electric outage threatens Landry Family Furniture's ""Going Out of Business"" sale, Martha Landry attempts to reconnect the power and her fractured family.",12m
The Perfect Mistress IV: Heartbreaker,No info,No info,Jenny Kleiman,,No info
10 Days with Dad,Ludovic Bernard,5.4,"Ariel Winograd, Mariano Vera, Juan Vera","Antoine is the Head of HR of a big company. When his wife decides to go on holiday and leave him with the responsibility of their four kids, he knows it will be easy. But Antoine has underestimated the mess that it can be.",1h 44m
Granny Nanny,Wolfgang Groos,6.5,Robert Löhr,Three frustrated pensioners volunteer themselves as Grand-Godparents to three stressed children.,1h 44m
No info,No info,No info,No info,No info,No info
Faith Based,Vincent Masciale,5.2,"Luke Barnett, Vincent Masciale, Tanner Thomason","When two friends realize all ""faith based"" films make buckets of cash, they set out on a mission to make one of their own.",1h 32m
Boys from County Hell,Chris Baugh,5.9,"Chris Baugh, Brendan Mullin","A crew of hardy road workers, led by a bickering father and son, must survive the night when they accidentally awaken an ancient Irish vampire.",1h 28m
Alina im Wunderland,Arkadij KhaetMickey PaatzschKatrin Gärtner,No info,"Hans Jürgen Alf, Stephanie Amarell, Leander Gerdes","21-year-old Alina is an intern on the set of the scripted reality show 'Madly in Love' and prepared for her first day in pleasant anticipation. But her motivation receives a damper when she witnesses the way has-been director Marc treats his team. Under his rule, abuse of power and sexism are everyday occurrences. When Marc resorts to physical and psychological violen... Read all",33m
The Big Ask,Jaki Bradley,No info,"Jaki Bradley, Jordan Mann","When impulsive Callen agrees to donate her eggs to her perfect big sis, she thinks she's gaining the world-free rent, sick apartment, and cash in hand. But in her new life nothing is her own, not even her body. The Big Ask looks at the rules of consent when you're renting out your body for a cause.",No info
We Deliver a Smile,No info,No info,"Jaki Bradley, Jordan Mann","In his job, delivery boy Karim meets Brigitte, a customer who wants to live out her power status on him. Afraid to lose his job, he must play along with her perfidious game. When her mother, who is suffering from Alzheimer`s disease, joins in as well, the situation plunges into complete chaos.",19m
Dreaming Like Louis,Valentin Merz,5.6,"Valentin Merz, Claude Muret","Louis is spending the summer in his boyfriend Paul's family house, hidden in the depths of the French countryside. It is very hot, the house is empty and the two lovers are alone. They make love, play, go for walks, make love again and sleep, at night and sometimes during the day. But Paul, whose mother has just died, is tired and nervous. Meanwhile, Louis has started... Read all",19m
Light from the Tower,Alex R. Wagner,2.4,Julia St. Pierre,"A costumer designer is sent to the Catskills for an interactive theatre piece set in the 1920s. When she arrives things seem dark, strange and off. She soon realizes she is part of a student film.",1h 17m
The Teacher + Margherita,Giovanni Petrizzo,No info,Giovanni Petrizzo,Film making in South Italy with local actor. The Movie is a tribute to italian director Vittorio De Sica,1h 25m
Sex Spirits,No info,No info,Giovanni Petrizzo,,No info
Big Feat,Lindsay Gonzalez,No info,Lindsay Gonzalez,"On workplace orders to undergo psychiatric evaluation a demon clown revisits her past move to the big city. Painful memories of her pursuit to become a fairy reignite buried desires, sending her on paths that may result in the disappointment of her life coach.",No info
Zoe and Hanh,Kim Tran,5.5,Kim Tran,"A young woman is caught in a lie by her suspicious mom. With tensions already high from recently losing a loved one, their relationship unhinges.",9m
Tales from the Rabbit Hole: A Curious Kitsch Novel,Tiago Durão,6.6,"Tiago Durão, Antonio Rodrigues, André Tavares","A kaleidoscope of several intertwined stories about people struggling to resist their vulnerabilities, in search of love, dignity, forgiveness and the great beauty of life in chaotic New York City.",2h
Si muore solo da vivi,Alberto Rizzi,5.4,"Marco Pettenello, Alberto Rizzi, Valentina Zanella","Orlando, a former musician whose private life has been devastated by an earthquake, decides to get a second chance with help of his former manager and motivated by love for Chiara.",1h 35m
A Postcard to Nina,Ronald Baez,9.3,Ronald Baez,"Longtime Instagram penpals Jean and Nina meet in person for the first time, re-defining their relationship as they stumbling through a deceptive, although well-meaning dinner with Nina's ultra-conservative father.",13m
Stump the Guesser,Evan JohnsonGalen JohnsonGuy Maddin,6.8,"Evan Johnson, Galen Johnson, Guy Maddin","He works at the fairground as ""Stump the Guesser"", who can guess anything for a fee. But suddenly his tricks stop working. And then he unwittingly falls in love with his sister whom he believed to be lost. He sets out to scientifically disprove the theory of heredity and marry his beloved as soon as possible. An absurdist firework of a silent film in black and white.",19m
Muy Gay Too Mexicano,Lorena Lourenço,7.2,"Lorena Lourenço, Jorge Molina",,13m
How to Quit,Liviu Monsted,No info,Liviu Monsted,A darkly comic examination of one man's particularly serious existential midlife crisis.,12m
Work It,Laura Terruso,6.1,Alison Peck,"When Quinn Ackerman's admission to the college of her dreams depends on her performance at a dance competition, she forms a ragtag group of dancers to take on the best squad in school. Now she just needs to learn how to dance.",1h 33m
Mystery Flavor,Neal E. Fischer,No info,"Neal E. Fischer, Justin Shady",A housewarming gift temporarily strains the relationship of two newlyweds.,No info
Bizim Semtin Çocuklari,Hakan Gürtop,4.0,Feridun Hocalar,,1h 40m
Frammenti,Sebastian AlexandreClaudia BonsangueGiorgio Picinni Leopardi,No info,"Sebastian Alexandre, Paolo Bianchini, Claudia Bonsangue","""Frammenti"" is the first Italian film made by the students of an artistic high school, the ""Donato Bramante"" in Rome at the ""Tufello"", the same place where they shot ""Ladri di biciclette"". The film deals with six very compelling different stories born from the pupils' mind.",1h 18m
French Exit,Azazel Jacobs,5.9,"Patrick De, Witt",An aging Manhattan socialite existing on the last of her inheritance moves to a small Paris apartment with her son and cat.,1h 53m
"The Nun, the Witch and the Bloodsucker",Dame Pierre II,No info,Ciera Angelia,"After a terrible breakup, three Sworn Enemies party hard with high hopes of inspiring their mutual friend.",16m
Coolie No. 1,David Dhawan,4.2,"Rumi Jaffery, Farhad Samji","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire.",2h 14m
A New Leash on Life,Daniel Jeffery,No info,"Zack Hamm, Daniel Jeffery, Mackenzie Warner","After one too many rage-filled outbursts, a magical talking dog named Basketball must talk his owner, Frank, out of having him put down.",12m
Green Cobra,Sigurd Culhane,7.0,"Chris Valdez, Patrick Tamisiea","With help of Russian mob clients, The Green Cobra details her rise as a ""Life Ending Technician,"" on the backdrop of a poor soul's final hours.",14m
Rose Island,Sydney Sibilia,7.0,"Francesca Manieri, Sydney Sibilia","An idealistic engineer builds his own island off the Italian coast and declares it a nation, drawing the world's attention. Values are tested when the Italian Government declares him an enemy, but to change the world risks must be taken.",1h 57m
Cruel Shoes,Kevan Peterson,7.0,Steve Martin,A woman goes into a shoe store to try - the cruel shoes. (Retained in the Academy Film Archive's collection. Available for reference and/or research in the Margaret Herrick Library).,No info
Cowgirls and Indians,Kate Davis,No info,Kate Davis,"Former rodeo queen, Callie, goes on a wild ride when she attends the funeral of a Native American man -- on an Indian reservation. His widow and sister take her on a harrowing journey. Callie experiences modern-day Indian life, and death, and confronts her life's choices and regrets. Filming in Roswell and Ruidoso, NM.",No info
Another Round,Thomas Vinterberg,7.7,"Thomas Vinterberg, Tobias Lindholm",Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,1h 57m
Underdog Days,Scott Bovelander,No info,Scott Bovelander,When Benjamin has to kill a prostitute everything goes terribly wrong.,No info
Push the Point,Bryan Burton,No info,"Bryan Burton, Robert Gongora, Edison Hong","A short film musical comedy set between the worlds of fandom and pop culture, PUSH THE POINT follows four online gamers through their squad-based mission. Harder than defeating the red team, however, is sticking together while trying to navigate toxicity, super-fandom, and the futility of having an argument on the internet.",8m
Crazy,Holt Boggs,8.4,Holt Boggs,"An insecure mob boss enlists the help of an eccentric hit man to 'take out' his girlfriend's lover who he presumes to have a significantly larger penis. The only problem is, it's almost 4:00.",10m
Cruel and Unusual Therapy,Gina Marie Rodriguez,8.9,Gina Marie Rodriguez,Seeing a therapist is hard. Breaking up with one is harder.,8m
Wrightwood,Skyler CalebDaniel Weiss,6.6,Skyler Caleb,"Scott is hoping for a relaxing weekend, but finds his friends exhibiting bizarre behavior that is either an endless prank or something more disturbing.",10m
Gold and Girl,Rodrigo Baumgartner Ayres,No info,Rodrigo Baumgartner Ayres,"When an incompetent boutique owner who steals jewelry to keep her business afloat is assaulted by one of her victims, she considers marrying for money to save her finances.",No info
The Plane Truth,Alex Hluch,No info,Jim Lincoln,,No info
The Argument,Robert Schwartzman,4.7,Zac Stanford,A couple get into an argument at their cocktail party that escalates until it brings an abrupt end to the festivities. They and their guests decide to re-create the entire night again and again to determine who was right.,1h 21m
Renters,Kris Atkins,No info,Kris Atkins,A young couple search for a reasonably sized flat at an affordable price. within a difficult Auckland renting market.,No info
12 Hour Shift,Brea Grant,5.5,Brea Grant,Bodies start to pile up when a drug-user nurse and her cousin try to find a replacement kidney for an organ trafficker.,1h 26m
Shubh Mangal Zyada Saavdhan,Hitesh Kewalya,5.8,Hitesh Kewalya,"The road to achieving a happy ending is a little too rough for two guys Kartik and Aman. While Aman's family tries hard to battle his love for Kartik, Kartik isn't prepared to step back until he marries Aman.",1h 57m
Fatman,Eshom NelmsIan Nelms,5.9,"Ian Nelms, Eshom Nelms","A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",1h 40m
Fiambre,Jose Maria Carrizo,No info,Jose Maria Carrizo,"When the family dog dies, Pancho the only child tries to arrange a proper burial, only to realise that all his efforts won't make anyone happy, but his mother.",No info
Budapest Heist,Balázs Lóth,3.8,"Ákos Inotay, Mark Kis-Szabo, Balázs Lóth","After their friend dies in an accident, Marcell, the rich but burnt-out architect and the rest of his loser childhood buddies decide to team up for the last time to fulfill their friend's last wish by smuggling his crappy painting into the most prestigious art auction of Budapest.",1h 44m
Wokeman: Women in the Workplace,Nicole Gomez Fisher,No info,"Nicole Gomez Fisher, Bj Gruber, Riley Thomas","A ""woke"" super hero is hired to teach a sexual harassment seminar. His hubris and ignorance lead to shocking yet hilarious misinformation. The women of the office teach him a lesson in return.",8m
Secret Society of Second Born Royals,Anna Mastro,5.0,"Alex Litvak, Andrew Green, Austin Winsberg",Follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.,1h 39m
Café Mirage,Neilson Black,No info,Neilson Black,A British foreigner moves to Paris to work in a cafe and become a Parisian. But realizes he isn't welcome when he gets there. So he starts a support group to fight for his right to stay and save the cafe from closing.,No info
The Christmas Project 2,Brad Johnson,4.7,Sally Meyer,"An awkward high school boy is forced to break out of his shell, when his elementary school nemesis moves back into town and tries to steal his girlfriend.",1h 27m
Rich in Love,Bruno GarottiJessica BlueAnita Barbosa,6.0,"Bruno Garotti, Sylvio Gonçalves","Rich kid Teto is determined to prove himself to Paula, his love interest. But when he tells her he grew up poor, the lie spins out of control.",1h 44m
Alexa,Josh Brandon,No info,Josh Brandon,,No info
Gulabo Sitabo,Shoojit SircarKuran Dhillon,6.3,Juhi Chaturvedi,"Two scheming men get caught up in a game of one upmanship, each one attracting other members to their clan and each one with an agenda of his own.",2h 4m
The End,Justin Lewis,No info,"Wyatt Daane, Justin Lewis, Katie Mc, Donald","An arrogant young man tries to fake his own death to break up with his girlfriend, but his soon-to-be-ex keeps foiling his plans.",10m
Blithe Spirit,Edward Hall,5.4,"Nick Moorcroft, Meg Leonard, Piers Ashworth","A spiritualist medium holds a seance for a writer suffering from writer's block but accidentally summons the spirit of his deceased first wife, which leads to an increasingly complex love triangle with his current wife of five years.",1h 39m
A Friendly Tale,Daniel Cohen,6.1,"Daniel Cohen, Olivier Dazat","The harmony between the four friends, two couples, is challenged, when Léa writes a bestseller novel.",1h 44m
Los Angeless,Jasmine ChiongKwanza Nicole GoodenEmma Shalaway,No info,"Jasmine Chiong, Natalie Kabenjian, Brittney King",,No info
More Than A Mile,Alex Michael,No info,Alex Michael,"'Four beer, four laps, for the helluva it!' 'More than a Mile' is a documentary following the lives of a runner and his friend on their 6 month journey towards the Beer Mile World Classic.",1h 28m
Lowdown Dirty Criminals,Paul Murphy,4.3,David Brechin-Smith,"Follows two naïve young men who are in search of a better life, encountering unsavoury situations and people along the way.",1h 26m
È per il tuo bene,Rolando Ravello,5.6,"Fabio Bonifacci, Manuel Burque, Josep Gatell",Three fathers try to hinder the love affairs of their respective daughters.,1h 36m
Road Kill Renegade,Larry BainCraig Olejnik,No info,"Larry Bain, Craig Olejnik",A dark comedy about an animal controller that's had enough of his innocent furry friends being killed.,No info
Thank You for Renting,Tyler Wieseler,No info,"Tyler Wieseler, Daniel L. Wolff",Four societal misfits contemplate life just days before their beloved video store closes.,No info
F.M. Live,Stephen Province,No info,Jessica Stamper,,No info
The Dummy Factor,O. Corbin Saleken,4.8,O. Corbin Saleken,A 12-year-old boy investigates the disappearance of a child in his neighbourhood.,1h 21m
How I Became a Super Hero,Douglas Attal,5.8,"Douglas Attal, Melisa Godet, Charlotte Sanson","While superheroes have assimilated into Parisian society, a new drug gives super powers to mere mortals.",1h 37m
