Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Help Me Help You,No info,No info,No info,,No info
The Strangers We Know,Alana Grace,No info,Alana Grace,"A seemingly perfect woman has what appears to be a happy 30th birthday party with the ones she loves. But under her perfect facade lies a hidden life full of secrets, tragedy, and unfinished business. When tragedy strikes, it is those closest to her that are caught the most off guard, begging the question, can you ever truly know someone?",13m
The Girl In The Cellar,Phoenix Vaughn,6.9,"Victor Boc, Phoenix Vaughn",A successful but emotionally fractured woman must confront a horrific secret from her past when her daughter befriends a spirit haunting the cellar.,18m
Nedunalvaadai,Selvakannan,7.0,Selvakannan,"An unemployed youngster is at the crossroads, puzzled about choosing between family and love.",2h
I'd Die for This Family,Kyanna Mai-Lee Bosworth,No info,"Eric Michael Federman, Greg Simmonds",,No info
Morning Rain,Alessio Schiazza,No info,Alessio Schiazza,Awakened by the sound of rain an office employee skips work to visit the ocean in this brief visual exploration of the ephemerality of human life.,5m
Enough Is Enough,Kyanna Mai-Lee Bosworth,No info,"Arron Barber-Stephens, Eric Michael Federman",,No info
The Writer,Buddy Ketelle,No info,Buddy Ketelle,,13m
It's Stranger Than We Thought,No info,No info,Buddy Ketelle,,No info
Noc v Mariandu,Matej ChlupacekMaja HamplovaMartin Hradský,No info,"Aneta Honzkova, Olga Tokarczuk",,25m
Fragile Ghost,Kit Wilson,No info,Kit Wilson,"In war-torn Germany, a frightened young girl submits to Hitler-Youth culture, only to realize she's been duped. Famed director Leni Reifenstahl aids her sister's escape with a newborn, but must outwit the Gestapo or die.",No info
S'échapper vers la Vie,Louis-Charles Blais,No info,Louis-Charles Blais,"-Escape from a life controlled by another, from a place where she did not feel well, from an oppression animated by someone she thought she loved.",2m
Kunst und die Freiheit,No info,No info,Louis-Charles Blais,,2m
Uber Oracle,Renée Stork,No info,Renée Stork,"A quirky oracle employed as an Uber driver, elevates the lives of her unknowing passengers, while risking her own life and what's most precious to heal her darkest and deepest wound of all.",34m
The Turnaround,Jahmal Holland,No info,Cuete Yeska,,No info
As Simple As Hello,Karson Kennedy,No info,"Nick Driscoll, Gavin Harper, Karson Kennedy","A film that tells the story of teenager Andrew Peters taking on a new school and dealing with all the complications that accompany. The mission of this film is to combat bullying and raise awareness for teenagers, just like Andrew, struggling with the trials and tribulations of high school. Hardships, tragedy, and betrayal all appear in this introspective motion pictu... Read all",30m
Shazam!,David F. Sandberg,7.0,"Henry Gayden, Darren Lemke, Bill Parker",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,2h 12m
The Dirt,Jeff Tremaine,7.0,"Rich Wilkes, Amanda Adelson, Tommy Lee","Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame.",1h 47m
Jadugar 2,Mahadev Tripathi,No info,Bishesh Panta,,No info
Instrucciones para empezar a hablar gallego,Matías Nicieza,No info,"Séchu Sende, Matías Nicieza",,6m
NYET! - a Brexit UK Border Farce,Alex HelfrechtJörg Tittel,8.1,"Alex Helfrecht, Gabriella Moran, Jörg Tittel","When Boris and Olga arrive at the port of Dover with precious cargo, the border authorities, headed by the formidable Mrs. Pyke (Olivia Williams), uncover truths hidden - quite literally - within our protagonists.",12m
Hunting Season,Tilde Harkamp,4.9,"Claudia Boderke, Lars Mering","Single mom Eva goes on a weekend of hotel, sauna, bikini wax and pheasant hunting with her ex's cute, young girlfriend, Bella, and their married friend, Marlene, so she can have an affair there. Nothing goes as planned.",1h 32m
Guilty Bunch of Flowers,Wayne Kelly,No info,"Keith Large, Maria Smith","When lovers, husband, sister, wife and mother all share their guilt through the same bunch of flowers, anarchic chaos ensues.",No info
Sifir: Etkisiz Eleman,Onur Aldogan,No info,Ömer Fikret Sen,,1h 50m
Snatchers,Stephen CedarsBenji Kleiman,5.8,"Stephen Cedars, Benji Kleiman, Scott Yacyshyn","After status-obsessed teen Sara has sex for the first time, she wakes up the next day nine months pregnant-with an alien.",1h 36m
All Tied Up,Jess Taylor,No info,"Quenn Partin, Jess Taylor",,No info
Jay and Anna,Adil Zubair,No info,Adil Zubair,,10m
New Things,Paul Burger,5.7,Paul Burger,A couple tries to spice up their love life by inviting an old friend back into the bedroom.,6m
Picture Character,Ian CheneyMartha Shane,6.0,No info,"Emojis are a worldwide phenomenon, with some arguing that these smiling poops and heart-eyed faces are on the verge of actually becoming their own language. Who, if anyone, is in charge of this new global digital language?",1h 21m
Family Obligations,Kenneth R. Frank,5.3,Kenneth R. Frank,One man learns to die. Another man learns to live.,1h 21m
Lucky Grandma,Sasie Sealy,6.3,"Banban Cheng, Sasie Sealy","Set in New York City's Chinatown, an ornery, chain-smoking Chinese grandma goes all in at the casino, landing herself on the wrong side of luck - and in the middle of a gang war.",1h 27m
Irish Splash,Devon PerezHart Perez,No info,"Devon Perez, Hart Perez",Irish Splash is a short film that reimagines whiskey as a cooking condiment.,1m
Out and About Movie 2: Las Vegas Adventure,Brendan Mitchell,6.7,"Brendan Mitchell, Gabriel Mercado, Frankie Pozos",YouTubers Brendan Mitchell and his pint-sized sidekick Gabriel Mercado make their long-awaited return to Sin City. They double-down with new crew members and a mysterious fanny pack.,1h 18m
How Father Lawrence Briefly Considered a Career in Landscaping,No info,No info,"Brendan Mitchell, Gabriel Mercado, Frankie Pozos",,4m
My Neighbor Wants Me Dead,Nick Gatsby,5.6,Nick Gatsby,The Tenant continuously fails to escape his deadly apartment in under 5 minutes.,51m
Under Cover Comic,Bobby Friedman,No info,Bobby Friedman,"Life is kind of funny sometimes. ""Under Cover Comic"" is the story of a family man who, after a strange brush with death, decides to pursue stand-up comedy. In the film, he grapples with push and pull between family, passion, and the frailty.",19m
Trouble Makers,No info,No info,Bobby Friedman,,1h 25m
The Right Reasons,Logan Yuzna,No info,Diana Lado,,No info
Forest of the Dead Sharks,Sergey A.,7.0,Sergey A.,"The main character named Dima Maslennikov is sent to the eerie forest to shoot the next episode of his show. However, the filming is not going according to plan. The flock of bloodthirsty sharks started hunting at Dmitriy.",50m
Uncertainship,Amanda Hinkley,No info,Amanda Hinkley,"When Emma's boyfriend leaves for a guys' night, her deepest insecurities and wildest fears about their relationship come to life before her very eyes.",No info
Girls Gone Camping,Lisa CrnicEirinn Disbrow,No info,"Lisa Crnic, Eirinn Disbrow","Three social media obsessed girls attempt to go camping in the desert, but things take a dark turn when their cell phones go missing and they are forced to survive without them.",7m
Piercing Stillness,Arepo,No info,"Arepo, Alberto Bona, Federico Cicardi",A relaxing walk in the countryside unexpectedly turns into an existential mystery.,5m
Back from 2038,Dakhil Al-Nabhan,5.7,Maziad Al-Muasharji,"As Eisa and his friend Marwan travel through time to the year 2038, he falls in love with Rawan who leads a group of rebellions against Seri, a company that produces robots.",1h 28m
Toilet of Satan,Sergey A.,8.5,Sergey A.,"In an ordinary village there is a present unknown evil, from which there is no mercy.",4m
Bikers Kental 2,Helmi Yusof,5.0,"Nurul Salajuddin, Helmi Yusof","As Bidin tries to convince his Thai girlfriend's family to let him marry her, he also has to settle an issue between him and an old enemy of his.",1h 34m
Inhuman,Hayley Tibbenham,No info,Hayley Tibbenham,"When Alice, a plus-sized, jaded and seemingly insecure teenage girl, moves to a small town in northern Michigan, she develops a budding romance with Elliot, a sunny high school golden boy. However, this romance quickly leads to the discovery that she is not some washed-out stereotype, but something farthest from it.",14m
Rude,Ambika Leigh,No info,Jason Lesner,A quiet and socially awkward introvert finds his life turned upside down when a loud and gregarious homeless man invades his favorite lunch spot and opens up about his sex life.,No info
Gone Kesh,Qasim Khallow,6.8,"Qasim Khallow, Sumit Gupt","Enakshi is diagnosed with Alopecia, where she begins to lose hair from her scalp. Although she finds her temporary fix to this, it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure?",1h 50m
A Christmas Cracker,Maximilian Mena,No info,Maximilian Mena,"During the height of festive consumerism, Holly, a young, optimistic cracker-maker uses her twisted sense of humour to rebel against the reigns of corporate tyranny. In an effort to make her voice heard above the carols of factory rationalisation, Holly defaces the traditional festive joke causing a chain of adversity.",15m
It Was the Worst,No info,No info,Maximilian Mena,,No info
Chicago I'm Home,Barry Brewer,7.4,Barry Brewer,Taped in front of two sold out crowds at the Studebaker Theater in his hometown of Chicago; this stand up comedy special is the culmination of Barry's real life experiences interwoven with over fifteen years as a stand up comic.,1h 18m
Out of Touch,No info,No info,Barry Brewer,,No info
Teenage Jesus,Aaron Sheer,No info,Aaron Sheer,"Two friends struggle to premiere their long awaited and Off-Off-Broadway musical ""Teenage Jesus.""",15m
