Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Publicité SAAQ - campagne publicitaire sur les drogues au volant (Pigeon),François Lallier,No info,Maxime Séguin-Durand,"-Awareness campaign on drugs while driving. Using a pigeon and a squirrel, she recalls that the police are able to recognize a drugged driver. The campaign is aimed primarily at drivers aged 16 to 24.",1m
Tracy Smith and the Treasure from the Secret Abyss,Pauli Janhunen Calderón,No info,"Marina Janhunen Calderón, Alvaro Grobet Calderón, Emilio Janhunen Calderón","Adventurer Tracy Smith embarks on a journey to find the treasure from the Secret Abyss. With the help of Niño Mistico they must face dangers on the way. Silver Servant, Don Maligni's troops and the Guardian will all challenge the mission.",24m
Rajawali,Zidny Nafian,No info,Zidny Nafian,"On an elevated afternoon, two Boys talked about the cause of a motorbike that was not bought.",5m
In the Realms of Good and Evil,Andrew Craig,No info,Andrew Craig,,12m
Jeremy,No info,No info,Andrew Craig,,7m
The Hungry Buddhists,Yunhao Zhang,No info,Yunhao Zhang,,2m
Bytva za 'Zhovten',Kseniya Krasnova,No info,"Anastasiya Stanko, Aleksandr Zherebko",,7m
Gli sbancati 2,Henry Secchiaroli,No info,"Henry Secchiaroli, Ermanno Simoncelli",,2h 5m
The End,Thibault Pinto,No info,"Joel Gonzalia, Thomas Smith",,No info
Face Off,Ly Hai,5.5,"Tiet Cuong, Truong Giang, Ly Hai","When he discovers a fortune in diamonds in the jungle, a man must flee the criminal gang with the help of a chance acquaintance.",1h 38m
Jurassic World,Colin Trevorrow,6.9,"Rick Jaffa, Amanda Silver, Colin Trevorrow","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.",2h 4m
Ant-Man,Peyton Reed,7.2,"Edgar Wright, Joe Cornish, Adam Mc, Kay","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",1h 57m
Oscar Buzz,Patrick Willems,No info,Patrick Willems,A Moviegoer kills an annoying moviegoer.,No info
The Hungry Buddhists,Yunhao Zhang,No info,Yunhao Zhang,,2m
Final Descent,Matthew Silva,No info,"Aniel Rios, Matthew Silva",,No info
Operation Pursuit,Matthew Silva,No info,"Aniel Rios, Matthew Silva",,No info
Flamenco Dancer's Revenge,No info,No info,"Aniel Rios, Matthew Silva",,No info
Left for Dead- The Infection (The Series),Billy Butler,No info,Billy Butler,A post-apocalyptic anthology web-series following the story of two best friends on their daring survival journey in a wasteland littered with the undead.,58m
Face Off,Ly Hai,5.5,"Tiet Cuong, Truong Giang, Ly Hai","When he discovers a fortune in diamonds in the jungle, a man must flee the criminal gang with the help of a chance acquaintance.",1h 38m
Dushman,No info,No info,No info,,2h
Pele 1 Real,No info,No info,No info,,No info
Nazi Sharks,Mario Xavier,5.2,Mario Xavier,"Dr. Beck Jenkins, a Sharkologist, notices sharks acting strangely. He decides to investigate their behaviour, but something seems to suggest a World War Two science experiment may be involved.",6m
Beach Tusa - Saltushki!,Xlson137,No info,"Vitaly Grinevich, Xlson137",,No info
Beach Tusa - Zakaznoy,Xlson137,No info,Xlson137,,No info
Pirates Airsoft Team,Aris Koulaidis,No info,Aris Koulaidis,,No info
Fight for Redemption,Matthew Silva,No info,"Aniel Rios, Matthew Silva",,No info
Modus,J.V. Noriega,4.8,"Richard Reynante, Lester Chavez, Ferdinand Enriquez",A young detective finds himself caught in a moral dilemma as he tries to solve a series of killings against children of corrupt government officials. He soon falls deeper into the case when the killer abducts his fiancée.,1h 21m
O Curto Adeus,Rodrigo Reinhardt,No info,"Fernanda Denuzzo, Rodrigo Reinhardt",,No info
Y.O.L.O (You Only Live Once),Tadgh Quill-Manley,No info,Tadgh Quill-Manley,,10m
Tiger Sci-Fi Kung-Fu,No info,No info,Tadgh Quill-Manley,,No info
Evil Hand wants revenge on me,No info,No info,Tadgh Quill-Manley,,No info
Tracy Smith and the Treasure from the Secret Abyss,Pauli Janhunen Calderón,No info,"Marina Janhunen Calderón, Alvaro Grobet Calderón, Emilio Janhunen Calderón","Adventurer Tracy Smith embarks on a journey to find the treasure from the Secret Abyss. With the help of Niño Mistico they must face dangers on the way. Silver Servant, Don Maligni's troops and the Guardian will all challenge the mission.",24m
Mind Games,No info,No info,"Marina Janhunen Calderón, Alvaro Grobet Calderón, Emilio Janhunen Calderón",,No info
"Yeo-ja, nam-ja",Ji-na KangWoo Moon-giYeon-Shick Shin,No info,"Ji-na Kang, Woo Moon-gi, Yeon-Shick Shin","A collected-works compilation featuring three short films, ""Geu-ge a-ni-go/Not That"", ""Hear My Song"", ""Seul-peun ssin/Sad Song"", by contemporary South Korean filmmakers and produced by fashion magazine W Korea on its 10th year anniversary.",No info
Eat the Rich,No info,No info,"Ji-na Kang, Woo Moon-gi, Yeon-Shick Shin","A day in the life of a filthy rich family of pigs living in a castle, as told through the eyes of their human butler.",4m
Rare Earth Element,Frank Sanders,No info,Frank Sanders,,4m
No Grapes No Glory,Michael Chuney,No info,"Michael Chuney, Vin Craig, Chris Ireland","A fantastic story about an unappreciated group of office workers who escape their mundane lives by transforming an unwanted gift into a ""sweet little battle.""",No info
Hollow Earth: The Bone Quill,Edward Tracey,No info,Edward Tracey,"Matt and Emily are tasked with protecting the Bone quill from harm, However will they be able to face Damien again?",No info
Goosebumps,Rob Letterman,6.3,"Darren Lemke, Scott Alexander, Larry Karaszewski","A teenager teams up with the daughter of young-adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",1h 43m
Potion Shop,Temmie Chang,7.7,Temmie Chang,"After defeating a dragon, a young witch must then save him from a furious crowd.",5m
Go Far,Katherin Hussein,No info,Katherin Hussein,An older brother uses his imagination to shield his younger sister from their toxic family dynamic.,12m
The dolls sight,Carlo Bettelini,No info,"Michael Anlero, Carlo Bettelini, Carlo Praolini",,No info
Chandrika,Yogesh MunisiddappaNallibilli Venkatesh,No info,Yogesh Munisiddappa,A painter moves into a haunted mansion with his wife. The spirit takes over his wife's body and begins to lead him to a his past. Why does the trapped soul seek revenge? Is there a love story that remains unfinished?,No info
The Forest of Iron,Tomas Rydehed,No info,Tomas Rydehed,"Three Girls going camping meet up with Three scientists who are exploring the mythical forest of iron. Undead vikings roam he forest and wants to awaken Månegarm, the mythical wolf.",1h 12m
Inergia: Sintiencia al vacío,Gilberto Vázquez,No info,Gilberto Vázquez,"He wants to feel and he will go to great lengths to try and find what makes someone human. Stuck between not knowing whether he is something or someone, he seeks to fill in the void.",19m
Ice Cream,No info,No info,No info,"Egged by his friends, a drunk Vishal agrees to spend a night in a spooky graveyard, unaware that this petty bet would soon turn into his worst nightmare. Can Vishal survive the horrific night? Or will the darkness of the night take over? Find out in the first Tulu horror film ever made, Ice Cream.",No info
No info,No info,No info,No info,No info,No info
June,Keely Martin,No info,Keely Martin,,No info
Blackout,No info,No info,No info,,5m
Mirlos de Arkansas,Pablo Vergara,4.6,Pablo Vergara,"A mechanical failure leaves four teenagers stranded in the darkness of a deserted road. Still disturbed by a recent incident involving the alleged town witch, the teenagers will face the real and imaginary threats that begin to emerge. The sudden disposición of one of the girls and the unexpected appearances of a series of strange local characters increase the tension... Read all",1h 15m
The Hitchhiker,No info,No info,Pablo Vergara,,5m
BD Scream 6,Shahzaib Yaqoob,6.6,Shahzaib Yaqoob,,21m
No info,No info,No info,No info,No info,No info
Scream Vs. Jason,No info,No info,No info,,18m
Zombooze,Jonny Fleet,No info,"Jonny Fleet, Kelly Mc, Gee","A group of Mormons wake up to a zombie apocalypse, only to discover that zombies won't attack them if they're drunk.",16m
Who was phone man?,No info,No info,"Jonny Fleet, Kelly Mc, Gee","A man attempts to find the pages of the ""Phone Man"", but at what cost?",4m
Walkman,Clay Randel,No info,William Thurmond,,No info
Economía,No info,No info,William Thurmond,,No info
O Rastro,Bruno ItoCarlos Macagi,No info,Carlos Macagi,"With the arrival of a new resident, tormented by nightmares and hallucinations, the home tranquility is threatened.",No info
Dirty Paws,Karina Farek,7.4,Karina Farek,,No info
Baby Hands,Cody Rapp,No info,Cody Rapp,A surreal stop-motion animation short film about a normal sized hand and some baby hands.,1m
Old Ladies Attack,Jesús AbadGuillermo Escobedo,No info,"Jesús Abad, Guillermo Escobedo",,10m
A Scene from Flesh United,Mattie Cooper,No info,Mattie Cooper,Palmay has a parasitic twin growing from his head and he seeks comfort and understanding from Queenie.,5m
Red Lantern's Oath,Justin Blake Webber,No info,Justin Blake Webber,"After a bitter divorce, Tabitha comes seeking her now ex husband. Furious over the treatment she has endured, she has come for revenge.",7m
Date Night,No info,No info,Justin Blake Webber,,9m
Spooky Pizza Delivery,No info,No info,Justin Blake Webber,,No info
Home Security,Larry Jerome Thomas,No info,"Larry Jerome Thomas, Shiandra Thomas",,No info
The Dater,Larry Jerome Thomas,No info,Larry Jerome Thomas,,No info
Almas Ocultas,Jorge Dahlhaus,No info,Jorge Dahlhaus,,1h 35m
Deception Obsession,Ji QiaoHaiming Xiang,No info,Hua Zhang,,1h 27m
Torture Porn,No info,3.7,Hua Zhang,,5m
Being,No info,7.5,Hua Zhang,"Nazneen invites a violent entity into her life by drinking from a stream. The entity follows her and takes over her. She begins to lose herself. A slow decay of her mind is what follows. The horror of her mind is manifested into the realities of her life, she witnesses a gradual loss of self and people close to her.",No info
Palasik,Dedy Mercy,5.5,Baskoro Adi Wuryanto,A pregnant woman who was accused by residents of having Palasik knowledge. She was accused of giving birth to a child who would inherit this black magic.,1h 18m
Kernel in My Throat,Domenic Migliore,No info,"Patch the Beagle, Domenic Migliore, Alex Quattrocchi",,3m
Penghuni Lain,Roman Malik,No info,"Delbin Clyte, Helfi C.H. Kardit","A married couple and their daughter move to a house far from the city. Soon, the wife begins to feel that something is wrong with the place and with the old woman who lives across the street, in an almost empty house.",1h 23m
Tes Nyali,No info,No info,"Delbin Clyte, Helfi C.H. Kardit",,No info
Paranormal X,Joy King,No info,Joy King,"The Taylor's move into an apartment, their youngest son Zac Taylor starts picking up on some paranormal activity going on in the house, his parents don't believe him and things get worse for the small family. (Series ended June 10, 2015)",No info
