Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Dalvin,Derek Yancey Jr.,No info,"Emily Tortorelli, Derek Yancey Jr.",,2m
Wolves 360°,No info,No info,"Emily Tortorelli, Derek Yancey Jr.",,No info
Cold Skin,Xavier Gens,6.0,"Jesús Olmo, Eron Sheean, Albert Sánchez Piñol",A young man arrives at a remote island to take a post of weather observer only to find himself defending the watchtower from deadly creatures which live in the island shores.,1h 48m
Um Terço de Mim,Sihan Felix,No info,Sihan Felix,,No info
Büyü 2,Adnan Güler,3.5,Servet Aksoy,,1h 30m
Hungry Rat,Manaal Khan,No info,Alyssa Amer,,No info
Kuyu,Serdar Bardakçi,2.5,Mehmet Besir Çengelli,,1h 30m
Morg,Tuncer Gürbüz,2.3,Halim ÇetinÖzlem Çetin,"The employee of a morgue begins to suffer terrible apparitions from the grave, suffocating him with great suffering due to a guilt that he has to pay for.",1h 7m
Iki,Fatih GürlerRamazan Özer,3.6,Murat Toktamisoglu,"Mother Meltem and her little daughter Beril live a happy life outside the city, living in a two-story house with a garden. The only thing that makes them nervous is the veteran watchman of the house, who appears as soon as possible. A mysterious guard creates uneasiness in Meltem.",1h 11m
Escuro,No info,No info,Murat Toktamisoglu,,3m
Journey to the Darkness,Mohammad Mozafari,No info,"Mohammad Mozafari, Himawan Pratista","This movie is a story about five asylum seekers who were going to immigrate illegally to Australia. Before starting the journey, they had to wait in a very weird house which was uncomfortable for them. One of them was making a documentary about their journey and things went very strange after midnight.",20m
The Hole,Yuichi Iwanaga,No info,Matt Savarese,,5m
Funeral Wake,Li Dong,No info,Wang Qiusheng,"Night vigils are done at funerals as the dead's souls are said to linger three days after death. Si is a gambler who only goes home when he needs money from his mother and is not around when she dies. Learning that his mother has buried treasure at home, Si returns to keep a vigil for her while finding the treasure. Strange things start to occur.",1h 29m
La escenita,Fernando Arriaga Hardisson,No info,Fernando Arriaga Hardisson,,5m
Fear of the Dark,Rohit Bhardwaj,No info,Roby Singh,"We all are afraid of DARKNESS,Sometimes we also face the awkward events in this DARKNESS that we can not understand whether it is TRUE or its a ILLUSION..",No info
Baskasi,Can Selman,No info,Candan Selman,,No info
Follower at Dusk,David Wood,No info,David Wood,"A man is stalked by a tall, dark figure.",1m
Give Me Kill,Zane Hampton,No info,Zane Hampton,,4m
Uno para Camila,Kail Grösser,No info,Kail Grösser,,4m
Cold Read,No info,No info,Kail Grösser,,No info
Housekeeping,No info,No info,Kail Grösser,,No info
Full House,Stephen Province,No info,Jessica Stamper,A stressed husband deals with overwhelming and mounding problems in the short film.,No info
Special Delivery,No info,No info,Jessica Stamper,,12m
Night of the Vampire,Marc ChindemiDouglas Godino,No info,Marc Chindemi,"On a cold autumn night. Two friends Brad and Alex get together to have a fun time. It was all going so well until. Brad discovers a Ouija board in the basement little did they know they would be in for a night that would change their lives forever. A night, which leads to no end and unleashes an evil vampire from the hell. Will Brad and Alex be able to survive the NIG... Read all",10m
The Faceless Menace,Joseph Daniel Rodriguez,No info,"Angel Delgado, Joseph Daniel Rodriguez",A Private detective enters a government facility to meet with an old friend who fears that something horrible has escaped the facility.,No info
Cultos,Martha Poly Vil,No info,Angel Inzunza,A brief presentation of Sindicato del Terror; a group of filmmakers whose main purpose is to promote the horror film industry of Mexico.,3m
Innocent Souls,Alejandro López,3.8,Alejandro López,,2m
Dearest Dolly,Matthew Mark Hunter,No info,Matthew Mark Hunter,A young man walks into the wrong place at the wrong time.,No info
Forbidden Woods,Matthew Mark Hunter,No info,Matthew Mark Hunter,A young man searches for a cult that may be in the woods.,No info
Return of Pumpkin Man,Matthew Mark Hunter,No info,Matthew Mark Hunter,Pumpkin Man gets annoyed with the bad music a kid plays and put's an end to it.,No info
