Nombre_Pelicula,Director,Puntuación,Guionistas,Argumento,Duración
Artificial Intelligence,Joey Burke,No info,"Joey Burke, Jacob Thomas","Master Stevenson's robot slave, Joshua, feels mistreated by his master and little does he know Master Stevenson has plans unknown to Joshua that later cause him to do the unthinkable.",5m
The Adventures of Smokey the Twink and Mark O'Rubio: The Movie,Dan Scholin,No info,Dan Scholin,,10m
Naughty Mr. Claus,Bryce Christopher,No info,Bryce Christopher,"The North Pole is melting due to Global Warming and Santa must save it before it's too late. In order to do so, he seeks help from his estranged daughter (Sam) who works at the EPA. However, Santa's morals are tested entering the political world. As, he and Sam work together to get an extremely important environmental bill passed. Yet, in the end, he realizes that som... Read all",No info
You Wanna Pizza Me,Liam Cowles,No info,Liam Cowles,Three guys. Two fight it out for the last piece of pizza while the third chills out in the toilet.,3m
De oom op zoek naar mysterie (The Uncle in Search of Mystery),No info,No info,Liam Cowles,A bored man tries to change the channel.,7m
9862,Giles Greenwood,No info,Jon Digby,"9862 is a black , close-to-the-bone comedy which deals with issues of vulnerability and desperation and how people's problems can really escalate if they are not dealt with properly.",11m
Still Moves,Daniel Freeman,No info,Daniel Freeman,"Edison Jones, a small town street performer and visual artist, meanders through life while trying to build The Experimental Institute of Eastern Californiart. Through the lens of a documentarian, we see Edison in his hometown of Nevada City, California and later on a reflective road trip to Reno, Nevada.",No info
The Love Story of Kosher,No info,No info,Daniel Freeman,,11m
Jonny's Cooking Garage,Jon Escobar,No info,Jon Escobar,"Follows a middle aged mentally unstable man ""Jonny (Garage) Barnabus"" who attempts to create a DIY cooking show within his own garage with little to no money. The style and genre I aimed for in this project, follows the lines of dark comedy, satire and found footage.",10m
Bringing Up Bobby,Amanda Haas,No info,Amanda Haas,"Mallory finds out she is pregnant at her boyfriend's house party the night before their graduation. When she tells her boyfriend Sully, he is less than ecstatic. Their fears are pushed to the back burner when the couple is forced to take care of Sully's inebriated best friend Bob. Just when they think they've put him down for bed, he escapes his room into the world un... Read all",No info
Metta World Teeth,Nik HarperJesse Lamar High,No info,"Nik Harper, Jesse Lamar High",An interview with Metta World Peace in 2011 leads to an impromptu discussion about teeth.,3m
Das Bürgermeistermädchen,No info,No info,"Nik Harper, Jesse Lamar High",,57m
Jeremiah's Woods,William Stancik,No info,William Stancik,"A man goes with his friends to bury his dog in the woods, where they encounter a malevolent resident.",1h 23m
Au Revoir Paris,Coralie Majouga,6.4,"Isaac Domingos, Ethan Poaty, Nacim Beliouz","Tomorrow they'll be in Africa, where their father wished to move back ; so today, Mathis and Antoine go to Paris. A day to say goodbye, roam the town, understand homecoming and mainly learn to discover each other...",23m
About A Short Film,Kevin Yee,7.4,Kevin Yee,Comedian Kevin Yee makes a short film about making a short film.,6m
My Existential Crisis,Joseph Holmes,No info,Joseph Holmes,A young woman struggling with her own mortality is followed everywhere she goes by The Grim Reaper.,4m
Five Minutes a Day,No info,5.9,Joseph Holmes,Jefferson and Jorge live now under the same roof.,10m
This Is Why Technology Killed Romance,No info,No info,Joseph Holmes,,No info
Male Ponytail PSA,No info,No info,Joseph Holmes,,No info
BBQ At High Noon,Tim BydderSondre Fristad,No info,Tim Bydder,The BBQ becomes tense when Tina brings her new gun slinging cowboy of a boyfriend to the BBQ.,8m
Cotufas con Limón,Edixon CaridadMariana Lilla,No info,"Edixon Caridad, Mariana Lilla","A cross-cultural comedic short about an intercultural friendship between Edgar and Laís. Without speaking the same language, they go through a roller coaster ride of misunderstandings, laughter and deep moments of human connection.",No info
Dr Prasad c/o sitara,Chaithanya Acharya,No info,"Jeeva, Krishnudu, Sapthagiri",A couple who get married against the wish of their family starts living in a farmhouse where they face weird ghost experiences. What consequences does this lead to and how will they survive is the rest of the story of Dr Prasad C/o Sitara.,1h 37m
Hipster Roast,Chris W. Orr,No info,Steven Briggs,,No info
Coxinha II,Cristiano Sousa,No info,Ivan Martins,,No info
Air Asia Commercial,No info,No info,Ivan Martins,,No info
Eric Offline,No info,No info,Ivan Martins,"Eric's social media image couldn't be better, but when his online pals invite him along on a camping trip, his virtual mask starts to slip.",20m
Verano No Miente,Ernesto Santisteban,5.4,Ernesto Santisteban,"In a countryside house located in the Ecuadorean Andes Mountains lives Christine, a paralytic old woman who has decided to be isolated from the world. In that place, she found refuge in old memories of her first love, Manuel. Years after getting married and widowed from another man, Christine and her daughter, Julia, decide to put together a plan in order to reunite t... Read all",2h
Freej Al Taibeen,Ahmed Zain,5.3,Ahmed Zain,"Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.",1h 40m
Drones,Chris W. Orr,No info,Steven Briggs,,No info
