ano,pelicula,director,actor,actriz
1976,One Flew Over the Cuckoo's Nest,M. Forman (One Flew Over the Cuckoo's Nest),J. Nicholson (One Flew Over the Cuckoo's Nest),L. Fletcher (One Flew Over the Cuckoo's Nest)
1977,Rocky,J. G. Avildsen (Rocky),P. Finch (Network),F. Dunaway (Network)
1978,Annie Hall,W. Allen (Annie Hall),R. Dreyfuss (The Goodbye Girl),D. Keaton (Annie Hall)
1979,The Deer Hunter,M. Cimino (The Deer Hunter),J. Voight (Coming Home),J. Fonda (Coming Home)
1980,Kramer vs. Kramer,R. Benton (Kramer vs. Kramer),D. Hoffman (Kramer vs. Kramer),S. Field (Norma Rae)
1981,Ordinary People,R. Redford (Ordinary People),R. De Niro (Raging Bull),S. Spacek (Coal Miner's Daughter)
1982,Chariots of Fire,W. Beatty (Reds),H. Fonda (On Golden Pond),K. Hepburn (On Golden Pond)
1983,Gandhi,R. Attenborough (Gandhi),R. Duvall (Tender Mercies),M. Streep (Sophie's Choice)
1984,Terms of Endearment,J. L. Brooks (Terms of Endearment),R. Duvall (Tender Mercies),S. MacLaine (Terms of Endearment)
1985,Amadeus,M. Forman (Amadeus),F. M. Abraham (Amadeus),S. Field (Places in the Heart)
1986,Out of Africa,S. Pollack (Out of Africa),W. Hurt (Kiss of the Spider Woman),G. Page (The Trip to Bountiful)
1987,Platoon,O. Stone (Platoon),P. Newman (The Colour of Money),M. Matlin (Children of a Lesser God)
1988,The Last Emperor,B. Bertolucci (The Last Emperor),M. Douglas (Wall Street),Cher (Moonstruck)
1989,Rain Man,B. Levinson (Rain Man),D. Hoffman (Rain Man),J. Foster (The Accused)
1990,Driving Miss Daisy,O. Stone (Born on the Fourth of July),D. Day-Lewis (Mi pie izquierdo),J. Tandy (Driving Miss Daisy)
1991,Dances with Wolves,K. Costner (Dances with Wolves),J. Irons (Reversal of Fortune),K. Bates (Misery)
1992,The Silence of the Lambs,J. Demme (The Silence of the Lambs),A. Hopkins (The Silence of the Lambs),J. Foster (The Silence of the Lambs)
1993,Unforgiven,C. Eastwood (Unforgiven),A. Pacino (Scent of a Woman),E. Thompson (Howards End)
1994,Schindler's List,S. Spielberg (Schindler's List),T. Hanks (Philadelphia),H. Hunter (The Piano)
1995,Forrest Gump,R. Zemeckis (Forrest Gump),T. Hanks (Forrest Gump),J. Lange (Blue Sky)
1996,Braveheart,M. Gibson (Braveheart),N. Cage (Leaving Las Vegas),S. Sarandon (Dead Man Walking)
1997,The English Patient,A. Minghella (The English Patient),G. Rush (Shine),F. McDormand (Fargo)
1998,Titanic,J. Cameron (Titanic),J. Nicholson (As Good as It Gets),H. Hunt (As Good as It Gets)
1999,Shakespeare in Love,S. Spielberg (Saving Private Ryan),R. Benigni (La vita e bella),G. Paltrow (Shakespeare in Love)
2000,American Beauty,S. Mendes (American Beauty),K. Spacey (American Beauty),H. Swank (Boys don't cry)
2001,Gladiator,S. Soderbergh (Traffic),R. Crowe (Gladiator),J. Roberts (Erin Brockovich)
2002,A Beautiful Mind,R. Howard (A Beautiful Mind),D. Washington (Training Day),H. Berry (Monster's Ball)
2003,Chicago,R. Polanski (The Pianist),A. Brody (The Pianist),N. Kidman (The Hours)
2004,The Lord of the Rings: The Return of the King,P. Jackson (The Lord of the Rings: The Return of the King),S. Penn (Mystic River),C. Theron (Monster)
2005,Million Dollar Baby,C. Eastwood (Million Dollar Baby),J. Foxx (Ray),H. Swank (Million Dollar Baby)
2006,Crash,A. Lee (Brokeback Mountain),P. S. Hoffman (Capote),R. Witherspoon (Walk the Line)
2007,The Departed,M. Scorsese (The Departed),F. Whitaker (The Last King of Scotland),H. Mirren (The Queen)
2008,No Country for Old Men,J. Coen E. Coen (No Country for Old Men),D. Day-Lewis (There Will Be Blood),M. Cotillard (La Mome)
2009,Slumdog Millionaire,D. Boyle (Slumdog Millionaire),S. Penn (Milk),K. Winslet (The Reader)
2010,The Hurt Locker,K. Bigelow (The Hurt Locker),J. Bridges (Crazy Heart),S. Bullock (The Blind Side)
2011,The King's Speech,T. Hooper (The King's Speech),C. Firth (The King's Speech),N. Portman (Black Swan)
2012,The Artist,M. Hazanavicius (The Artist),J. Dujardin (The Artist),M. Streep (The Iron Lady)
2013,Argo,A. Lee (Life of Pi),D. Day-Lewis (Lincoln),J. Lawrence (Silver Linings Playbook)
2014,12 Years a Slave,A. Cuaron (Gravity),M. McConaughey (Dallas Buyers Club),C. Blanchett (Blue Jasmine)
2015,Birdman or (The Unexpected Virtue of Ignorance),A. G. Inarritu (Birdman or  (The Unexpected Virtue of Ignorance)),E. Redmayne (The Theory Of Everything),J.Moore (Still Alice)
2016,Spotlight,A. G. Inarritu (The Revenant),L. DiCaprio (The Revenant),B. Larson (Room)
2017,Moonlight,D. Chazelle (La La Land),C. Affleck (Manchester by the Sea),E. Stone (La La Land)
"2018,The Shape of Water,G. del Toro (The Shape of Water),G. Oldman (Darkest Hour),""F. McDormand (Three Billboards Outside Ebbing, Missouri)"""
2019,Green Book,A. Cuaron (Roma),R. Malek (Bohemian Rhapsody),O. Colman (La favorita)
2020,Parasite,Bong J. (Parasite),J. Phoenix (Joker),R. Zellweger (Judy)
2021,Nomadland,C. Zhao (Nomadland),A. Hopkins (The Father),F. McDormand (Nomadland)
2022,CODA,J. Campion (The Power of the Dog),W. Smith (King Richard),J. Chastain (The Eyes of Tammy Faye)
2023,Everything Everywhere All at Once,D. Kwan D. Scheinert (Everything Everywhere All at Once),B. Fraser (The Whale),M. Yeoh (Everything Everywhere All at Once)
2024,Oppenheimer,C. Nolan (Oppenheimer),C. Murphy (Oppenheimer),E. Stone (Poor Things)
