Nombre_Actor,Año_nacimiento,Premios,Qué_hace,Conocido_por
Balázs Bodolai,No info,No info,Reparto,"Legjobb tudomásom szerint, Hasadék, Sarajevo Songs of Woe"
Gabriella Hámori,1 de noviembre de 1978,6 premios,Reparto,"The Exam, Portraits in Dramatic Time, Budapest"
Attila Menszátor-Héresz,No info,No info,Reparto,"Mindörökké, Scirocco, Strike Back"
Carlos Segura,No info,No info,Reparto,"Fear the Walking Dead, Belascoarán, Coyote"
Fernanda Acosta,No info,No info,Reparto,No info
Bruno Dominguez,No info,No info,Reparto,"Coyote, Días Negros, Hypocrisis"
Thitipoom Techaapaikhun,No info,No info,Reparto,"Classic Again, Wolf, Manee Phayabat"
Ranchrawee Uakoolwarawat,No info,No info,Reparto,"Chinatown Chacha, Classic Again, Tricky in Love"
Gee Sutthirak Subvijitra,No info,No info,Reparto,"Switch On, 4 Kings 2, Classic Again"
Kyla Garcia,No info,1 premio y 1 nominación,"Reparto, Guion, Producción","Las chicas del cable, Agentes de S.H.I.E.L.D., Time Capsule"
Phillip Garcia,24 de mayo de 1988,No info,Reparto,"Sprung, Scandal, Mentes criminales"
John Lehr,25 de noviembre de 1967,No info,"Reparto, Guion, Producción","10 Items or Less, Quick Draw, La cosa más dulce"
William C Cole,No info,No info,"Reparto, Guion, Producción","Café Daughter, Eaux Turbulentes, Northern Rescue"
Stephanie Aubertin,No info,No info,"Reparto, Equipos adicionales, Producción","Eaux Turbulentes, Unsettled, Trickster"
Ye Gao,No info,4 premios y 5 nominaciones,"Reparto, Dirección de la segunda unidad o asistencia a dirección","La eliminación, Li xiang zhi cheng, Di er shi tiao"
Johnny Huang,30 de noviembre de 1992,11 premios y 11 nominaciones,"Reparto, Producción, Música","Hong hai xing dong, Fa zui, Po bing xing dong"
Sichun Ma,14 de marzo de 1988,8 premios y 25 nominaciones,"Reparto, Banda sonora","Zuo er, Qi yue yu an sheng, Cheng Hong Nian Dai"
Moa Gammel,6 de octubre de 1980,3 nominaciones,"Reparto, Dirección, Casting","Déjame entrar, Tack för senast, Irene Huss"
Madeleine Martin,No info,1 premio y 1 nominación,"Reparto, Dirección de la segunda unidad o asistencia a dirección","På din story, Alive, Riverside"
Trine Wiggen,No info,2 nominaciones,"Reparto, Equipos adicionales","En folkefiende, Varg Veum - Flores amargas, Cold Prey 3"
Sebastian Urzendowsky,28 de mayo de 1985,5 premios y 2 nominaciones,"Reparto, Dirección, Guion","Camino a la libertad, Mitten in Deutschland: NSU, Der Turm"
Blanche-Neige Huri,No info,No info,Reparto,No info
Patrick Descamps,13 de julio de 1956,2 nominaciones,"Reparto, Banda sonora","Escapando, Section Zéro, La memoria del asesino"
Achyut Prashast Singh,20 de agosto de 1999,No info,"Guion, Dirección, Producción","Taapmaan, Vishwavijay, Himaang"
Gabriel Bateman,10 de septiembre de 2004,No info,"Reparto, Banda sonora","Nunca apagues la luz, Muñeco diabólico (Child's Play), Salvaje"
Elisha Henig,30 de octubre,2 nominaciones,"Reparto, Guion, Music Artist","The Drop, The Sinner, Mythic Quest: banquete de cuervos"
Deborah Zoe,1 de octubre,No info,Reparto,"The Guiding Light, Pensacola: Alas de oro, Bones"
Steve Fitzgerald,No info,No info,Reparto,No info
Samira Nabie,No info,No info,Reparto,No info
Christoph Niemann,No info,No info,Reparto,No info
James Abrams,No info,11 premios y 18 nominaciones,"Edición, Dirección, Producción","A Tiger in the Subway, Hound, Sentinel: Or Mythology and Methodology"
Frank Mosley,26 de septiembre de 1983,4 premios y 9 nominaciones,"Reparto, Dirección, Producción","Freeland, The Event, The Ghost Who Walks"
Matthew Shaw,No info,No info,"Reparto, Composición","Dipso, Tormenting the Hen, The Chosen One"
Makrand Deshpande,6 de marzo de 1966,1 premio y 1 nominación,"Reparto, Guion y continuidad, Guion","Sarfarosh, Hanan, Jailer"
Manjari Fadnnis,10 de julio de 1984,2 premios y 5 nominaciones,"Reparto, Banda sonora","Jaane Tu... Ya Jaane Na, Rok Sako To Rok Lo, Subhapradam"
Priyadarshan Jadhav,No info,2 nominaciones,"Reparto, Guion, Dirección","Choricha Mamla, Maska, Jaago Mohan Pyare"
Sami Bouajila,26 de mayo de 1966,9 premios y 3 nominaciones,"Reparto, Banda sonora","Estado de sitio, Drôle de Félix, Bik Eneich: Un fils"
Eriq Ebouaney,3 de octubre de 1967,1 nominación,Reparto,"3 días para matar, El reino de los cielos, Transporter 3"
Samy Seghir,No info,No info,Reparto,"Noche de venganza, 7 días en Entebbe, La tierra y la sangre"
Emalie Noelani,No info,No info,"Reparto, Dirección de casting, Producción","Magnum, The Marry Me Pact, ATL Homicide"
Alex May,No info,No info,"Equipos adicionales, Reparto, Producción","Tenebra, Tenebra: Countdown, Rejuvenation"
Wayne Wilkins,No info,No info,"Reparto, Guion, Producción","Get the Bag, Land Heist, Unit Eleven"
Jessica Barden,21 de julio de 1992,1 premio y 4 nominaciones,Reparto,"Hanna, Lejos del mundanal ruido, Langosta"
Michael McKean,17 de octubre de 1947,10 premios y 27 nominaciones en total,"Reparto, Dirección, Composición","This Is Spinal Tap, Un poderoso viento, El juego de la sospecha (Cluedo)"
Marcia Gay Harden,14 de agosto de 1959,11 premios y 39 nominaciones en total,"Reparto, Producción","Mystic River, La niebla de Stephen King, Pollock. La vida de un creador"
Hai-Qing,12 de enero de 1978,17 premios y 31 nominaciones,Reparto,"Hong hai xing dong, Xiao huan xi, Xi Fu De Mei Hao Shi Dai"
Liang Jingdong,No info,1 nominación,"Reparto, Dirección de arte, Diseño de producción","Más allá de las montañas, Naturaleza muerta, Pickpocket"
Yu Zhang,No info,4 premios y 17 nominaciones,Reparto,"An elephant sitting still, Wo bu shi yao shen, Wu ming zhi bei"
Li Ma,28 de junio de 1982,15 premios y 9 nominaciones,"Reparto, Producción","Zhe ge sha shou bu tai leng jing, Du xing yue qiu, Xiu xiu de tie quan"
Zhiyong Zhang,No info,No info,Reparto,"Manchurian Tiger, The Kidnapping, Xi huan gao xing ai"
Shawn Yue,13 de noviembre de 1981,3 premios y 9 nominaciones,"Reparto, Banda sonora","Juego sucio, Juego sucio 2, Yat nim mou ming"
Jessie Li,5 de diciembre de 1992,8 premios y 4 nominaciones,"Reparto, Equipos adicionales","Dap huet cam mui, Héctor y el secreto de la felicidad, Guai wu xian sheng"
Kara Wai,3 de febrero de 1960,30 premios y 22 nominaciones,Reparto,"Dragón, Hang wan si ngo, Las garras de la Tigresa"
Xian Li,19 de octubre de 1991,11 premios y 10 nominaciones,"Reparto, Banda sonora","Qin ai de, re ai de, He shen, Jian wang chao"
Julian Ben David,No info,No info,Reparto,No info
Lucas Haynes,No info,No info,"Reparto, Dirección, Guion","White Odourless Bitter, Donde viven los monstruos, Sunny Side of the Street"
James Hewison,No info,No info,"Producción, Reparto, Guion","Nitram, Warm Blood, Carnation"
Astrid Bergès-Frisbey,26 de mayo de 1986,3 premios y 2 nominaciones,Reparto,"Rey Arturo: La leyenda de Excalibur, Orígenes, Piratas del Caribe: En mareas misteriosas"
James Thierrée,No info,3 premios y 2 nominaciones,"Reparto, Dirección, Música","Tabac Rouge, Monsieur Chocolat, Les illusions"
Anouk Grinberg,20 de marzo de 1963,5 premios y 4 nominaciones,Reparto,"Mi hombre, La fille du magicien, Sale gosse"
Patrick Anthony,No info,No info,Reparto,No info
Robert Ball,No info,No info,"Reparto, Equipos adicionales",No info
Lisa Banks,No info,No info,Reparto,No info
Morgan Saylor,26 de octubre de 1994,2 nominaciones,Reparto,"Derribad al hombre, Homeland, White Girl"
Ben Rosenfield,1 de agosto de 1992,1 nominación,"Reparto, Guion, Producción","6 Years, Boardwalk Empire, Twin Peaks"
Carrie Cohen,No info,No info,Reparto,"Skeletons, El ladrón, su esposa y la canoa, Hungry Joe"
Ian Reddington,25 de septiembre de 1957,3 nominaciones,"Reparto, Producción","Los inmortales, Zoe and the Astronaut, Los hermanos Sisters"
Neil Summerville,No info,No info,Reparto,"The Brink, Bloody Cakes, Trumped"
Daniel Faraldo,4 de noviembre de 1949,1 premio y 4 nominaciones,"Reparto, Guion, Producción","Mayans M.C., Bounty Hunters, Mentes criminales: Sin fronteras"
Isak Férriz,20 de junio de 1979,3 premios y 1 nominación,Reparto,"El cuerpo en llamas, Infiesto, Gigantes"
Yolanda Sey,No info,No info,"Reparto, Banda sonora","By Any Means, Still Here, Asfalt"
Brian Geraghty,13 de mayo,3 premios y 10 nominaciones,"Reparto, Producción, Banda sonora","En tierra hostil, Bobby, El vuelo (Flight)"
Sharon Leal,17 de octubre de 1972,3 nominaciones,"Reparto, Producción, Banda sonora","Dreamgirls, Addicted, Profesores de Boston"
Bethany Joy Lenz,2 de abril de 1981,7 nominaciones,"Reparto, Dirección, Producción","Dexter, Pearson, Anatomía de Grey"
Ovidiu Crisan,No info,No info,"Reparto, Composición","No identificado, Berliner, La madre"
Ion Sapdaru,No info,3 premios y 2 nominaciones,Reparto,"4 meses, 3 semanas, 2 días, 12:08 al este de Bucarest, Afacerea Est"
Shukraidin Asenov,No info,No info,No info,No info
Iliya Ilchev,No info,No info,No info,No info
Muhamed Kyamil,No info,No info,No info,No info
John White,No info,No info,Reparto,No info
Kate Tickle,No info,No info,Reparto,"Killer Bitch, Choice, Zombie Run"
SarahTonin,No info,No info,Reparto,"The Blazing Cannons, Films Confiscated from a French Brothel, Cucumber"
Aris Servetalis,21 de diciembre de 1976,4 premios y 5 nominaciones,Reparto,"The Waiter, Alps, Apples"
Sofia Georgovassili,No info,2 premios y 7 nominaciones,"Reparto, Dirección, Guion","Proetoimasia, Mavro livadi, Anamniseis mias efivikis kataigidas"
Anna Kalaitzidou,No info,No info,Reparto,"Canino, Eteros ego, I anazitisi tis Lora Dourand"
Tiffany Vordjorbe,No info,1 premio,Reparto,No info
Anthony Barker,No info,1 premio,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Dirección de casting","Jericho, Ticking Hearts, Precinct 757"
Frances Owens,No info,No info,Reparto,"Precinct 757, Historias de ultratumba, Thanksgiving with the Carters"
Michele Abascal,No info,No info,Reparto,"Conversaciones, La erección de Toribio Bardelli, Contar el amor"
Christopher Aguilasocho,No info,No info,"Reparto, Equipos adicionales","El color de la pasión, Buscando a Mar, Mi lista de exes"
Tato Alexander,No info,1 premio,Reparto,"El Aire es Dulce Aquí, Negociando con mi mujer, Almas de la Niebla"
Lily Brown Griffiths,No info,No info,Reparto,"Queen of Oz, Brothers from Malta, The Gift That Gives"
Craig Walker,13 de noviembre,2 premios,"Reparto, Guion, Dirección de producción","Queen of Oz, Atomic Kingdom, El amor está en el aire"
Robin Royce Queree,No info,2 premios,"Reparto, Producción, Dirección","Life's a Drag, Australia, Gabriel"
Lena Urzendowsky,2000,10 premios y 2 nominaciones,"Reparto, Guion, Dirección","El despertar de Nora, Der große Rudolph, Das weiße Kaninchen"
Jella Haase,27 de octubre de 1992,13 premios y 9 nominaciones,"Reparto, Producción","¡Que te den, profe!, ¡Que te den, profe! 2, Kleo"
Lena Klenke,25 de diciembre de 1995,2 premios y 1 nominación,Reparto,"Victoria, ¡Que te den, profe!, ¡Que te den, profe! 2"
Matt Szakal,No info,No info,"Guion, Dirección, Reparto","Hara-Kiri, Crow, Road Runner"
Josh Bzura,No info,No info,"Reparto, Producción, Composición","Camp Murder, Saturnalia, Crow"
Justin Mane,28 de marzo de 1988,1 premio y 1 nominación,"Reparto, Especialistas, Casting","Crow, American Rust, Detroit"
Marianne Steinsrud,No info,No info,"Reparto, Producción",No info
Aron Ødegård,No info,No info,Reparto,No info
Jan Wehrmann,No info,No info,Reparto,"Askedager, Traicionados, Kongsvikfamiliene"
Taranjit Kaur,No info,1 premio,"Reparto, Guion, Producción","Ankhon Dekhi, Airlift, Kahaani"
Richard Bradford,10 de noviembre de 1934,No info,Reparto,"Los intocables de Eliot Ness, La leyenda de Billie Jean, Más American Graffiti"
Ron Randell,8 de octubre de 1918,No info,Reparto,"Rey de reyes, Bésame, Kate, Bulldog Drummond Strikes Back"
Anton Rodgers,10 de enero de 1933,No info,"Reparto, Banda sonora","Un par de seductores, El mercader de Venecia, El cuarto protocolo"
Saswata Chatterjee,19 de diciembre de 1970,8 nominaciones,"Reparto, Música","Kahaani, El infiltrado, Dil Bechara"
Nandita Das,7 de noviembre de 1969,14 premios y 22 nominaciones,"Reparto, Animación, Dirección","Firaaq, Fuego (Fire), Manto"
Kaushik Sen,19 de septiembre de 1968,1 premio y 1 nominación,Reparto,"Lion, Aamaar Bhuvan, Byomkesh Pawrbo"
Michael B. Jordan,9 de febrero de 1987,44 premios y 89 nominaciones en total,"Reparto, Producción, Dirección","Black Panther, Creed. La leyenda de Rocky, Fruitvale Station"
Aaron Davis,No info,No info,Reparto,"People of Earth, Fahrenheit 451, Incorporated"
Cindy Katz,No info,No info,Reparto,"Heat, Sin límites, La edad de la inocencia"
Sanaa Lathan,19 de septiembre de 1971,12 premios y 29 nominaciones en total,"Reparto, Producción, Dirección","Alien vs. Predator, Love & Basketball, Algo nuevo"
Ricky Whittle,23 de noviembre de 1981,1 premio y 5 nominaciones,Reparto,"En tierra de Jane Austen, Hollyoaks, American Gods"
Lyriq Bent,3 de enero de 1974,1 premio y 3 nominaciones,"Reparto, Producción, Guion","Acrimony, Nola Darling, El libro de los negros"
Aaron Taylor-Johnson,13 de junio de 1990,7 premios y 25 nominaciones en total,"Reparto, Producción, Guion","Kick-Ass: Listo para machacar, Nowhere Boy, Animales nocturnos"
Billy Bob Thornton,4 de agosto de 1955,32 premios y 57 nominaciones en total,"Reparto, Guion, Dirección","El otro lado de la vida, Un plan sencillo, El hombre que nunca estuvo allí"
Odessa Young,6 de marzo de 1998,10 premios y 3 nominaciones,"Reparto, Banda sonora","Richard dice adiós, Nación salvaje, Shirley"
Alex Pettyfer,10 de abril de 1990,7 premios y 8 nominaciones,"Reparto, Producción, Dirección","Magic Mike, Elvis & Nixon, In Time"
Jennifer Morrison,12 de abril,10 premios y 17 nominaciones,"Reparto, Producción, Dirección","House, Érase una vez, Star Trek"
Nicola Peltz Beckham,9 de enero de 1995,2 premios y 4 nominaciones,"Reparto, Dirección, Guion","Lola, Bienvenidos a Chippendales, The Obituary of Tunde Johnson"
Dayana Esebe,No info,No info,Reparto,"Rich Flu, Ima, Coloré"
Herilia Mabwisi,No info,No info,Reparto,"Le griot Tshilanda, Heart of Africa, Menace Commune"
Eddie Muanza,No info,No info,Reparto,No info
Plotin Dianani,No info,No info,Reparto,"Maki'la, Après coup, Kadogo"
Donald MacLean Jr.,No info,No info,"Reparto, Guion, Producción","Bummed, Blumhouse. Jóvenes y brujas, La Facción Octubre"
David Buchanan,No info,No info,"Reparto, Dirección de fotografía y cámara, Sonido","2 Finesse, Becky, Another Period in Time"
Teresa Edwards,No info,No info,"Producción, Reparto, Edición","Brotherly Love, Brotherly Love, High Stakes Game"
Tenéa Miller,No info,No info,Reparto,No info
Shemss Audat,No info,No info,Reparto,"Aïcha, No Limit, Interpol"
Christophe Bouquet,No info,No info,Reparto,No info
Jan Kounen,No info,2 premios y 2 nominaciones,"Dirección, Guion, Reparto","Blueberry: La experiencia secreta, Vibroboy, 8"
Nick Puya,No info,No info,Reparto,"Flamingo Heist, The Critic, Creator(s)"
Brandon Scott,No info,No info,Reparto,No info
Alex Kingsman,No info,No info,"Reparto, Guion, Dirección de casting","Dracul, The Untold Story of William Omega, Form 1"
Arash Aasefi,No info,1 nominación,Reparto,"Rastakhiz: Rooze Rastakhiz, Emkane Mina, When I Became a Butterfly"
Arefeh Akbari,No info,No info,Reparto,"When I Became a Butterfly, To Va Man, Ghessehaye Sajjad"
Azarmidokht Azizi,No info,No info,Reparto,No info
Robert T. Cunningham,No info,No info,"Reparto, Guion, Dirección de casting","Mamá y papá, Knives and Skin, The Big Leap: El gran salto"
Ross Turkington,No info,No info,Reparto,"Better Days, Helga, At the Crossroads Down Yonder"
Ainaz Azarhoush,No info,No info,Reparto,"Mahi va gorbeh, The Paternal House, Khook"
Juan Hasan,No info,No info,Reparto,No info
Ilana Azria,No info,No info,Reparto,"Fujisan, Rebirth, Flamboyante"
Jeremy DeJesus,No info,No info,"Arte, Reparto","God Forgive Us, Captive, Flamboyante"
Yohan Doto,No info,No info,Reparto,No info
Clayne Crawford,20 de abril de 1978,6 premios y 8 nominaciones,"Reparto, Producción, Dirección","Un paseo para recordar, Arma letal, El perfecto anfitrión"
Jen Nikolaisen,No info,No info,"Reparto, Producción","Mujercitas, Un plan irresistible, Navy: Investigación criminal"
Alex Bodine,No info,No info,"Especialistas, Reparto, Equipos adicionales","El paraíso perdido, Permanent Press, Masterpiece"
Julia Crytser,No info,No info,"Cámara y electricidad, Reparto, Edición","Midnight Runner, When We Were Young, Chester"
Jesse Perry,No info,No info,Reparto,No info
Faranak Moradi,No info,17 premios y 3 nominaciones,"Dirección, Reparto, Guion","M Like Mobius, Mirror, I zohreh"
Vico Escorcia,14 de junio de 1996,1 premio y 3 nominaciones,Reparto,"Los crímenes de Mar del Norte, Eddie Reynolds y Los Ángeles de Acero, Firma aquí"
Jacob Vargas,18 de agosto de 1971,4 premios y 8 nominaciones,"Reparto, Producción","Sr. Iglesias, Hijos de la anarquía, Traffic"
Joseph Gordon-Levitt,17 de febrero de 1981,26 premios y 76 nominaciones en total,"Reparto, Producción, Guion","Origen, Looper, Don Jon"
Alfredo J. Ruiz,No info,No info,Reparto,No info
Reid Suttles,No info,No info,"Reparto, Dirección, Dirección de fotografía y cámara","Perfect Timing, The Cherry Orchard, Dead Weight"
Sophie Leonard,No info,No info,Reparto,"Platónico, Fantasy Island, Alex/October"
Charlotte Hensley,No info,No info,Reparto,No info
Dolores Heredia,6 de octubre de 1966,3 premios y 8 nominaciones,"Reparto, Banda sonora","En el punto de mira, Santitos, Vacaciones en el infierno"
Kristyan Ferrer,14 de febrero de 1995,5 premios y 4 nominaciones,"Reparto, Banda sonora","Sin nombre, Good Day, Ramon, 600 Millas"
Juan Pablo de Santiago,No info,3 nominaciones,"Reparto, Dirección de la segunda unidad o asistencia a dirección","Voy a explotar, Sueño en otro idioma, Luna negra"
Jacob Betts,No info,No info,"Reparto, Dirección, Guion","TorchQuest, Brotherly Lies, Ominous Thrill"
Olive Jane Lorraine,No info,No info,"Reparto, Guion, Dirección","Jelly, Day by Day, Honey"
Safe Bashir,No info,No info,Reparto,No info
Alex Bidal Charles,No info,No info,Reparto,No info
West Patawa Charles,No info,No info,Reparto,No info
Christopher Howe,No info,No info,Reparto,No info
Drew Kutnick,No info,No info,Reparto,"Alive: A New Life Program, The Vixen of Vengeance, Alive 2: Immoral Choices"
Brian Nelson Jr.,No info,2 premios y 1 nominación,"Reparto, Dirección, Guion","Marbles, The Talented Tenth, Chicago P.D."
Ailbhe Cowley,No info,No info,Reparto,"Vikingos: Valhalla, Flora y su hijo Max, Barber"
Alex Deegan,No info,1 premio y 2 nominaciones,Reparto,"First Disco, Flora y su hijo Max, The Sniper's Daughter"
Tony Doyle,No info,1 nominación,"Reparto, Dirección, Guion","Sing Street, Guard Up, Match"
Darbha Appaji Ambarisha,No info,No info,Reparto,"Karthikeya 2, K.G.F: Chapter 2, Radhe Shyam"
Prasad Chandekar,No info,No info,Reparto,No info
Mahesh Pawan,No info,No info,Reparto,No info
Daniel Curalli,No info,No info,Reparto,"Newsman, Forget Me Not, Loading Dock"
Wynn Siu,No info,No info,Reparto,"Motherboard, Bunny Man, Snatch Me Good"
Emilie Aldersjøen,No info,No info,Reparto,No info
Aleksander Sylvan,No info,No info,"Reparto, Producción","Oculi - Det eneste vitnet, Utdrikningslaget, Flus"
Christoffer Nilsson,No info,No info,"Reparto, Equipos adicionales","Thomas mot Thomas (en sensasjonell teori om det ubetydelige livet i multiverset), Raspberry1508, Oculi - Det eneste vitnet"
Andrew Martin,No info,1 nominación,Reparto,"The Incredible 25th Year of Mitzi Bearclaw, The Fields of Dying Rabbits, Fire Song"
Kristen Martin,No info,No info,Reparto,No info
Azdin Zaman,No info,No info,"Reparto, Equipos adicionales","Utopia Falls, Orphan Black, Bella y bestia"
Markos Renieris,No info,No info,"Reparto, Banda sonora",No info
Robin Antoinette,No info,No info,Reparto,"EnVz Studios: When He Changed My Name, Ashes That Swarm, Halloween Kickback"
Kingston Beacham,No info,No info,Reparto,No info
Kimberly Brooks,No info,No info,No info,No info
Barun Chanda,30 de mayo de 1945,No info,"Reparto, Casting","El vuelo de los ladrones, Chorabali, Lootera"
Dipanwita,No info,No info,Reparto,"Maa Amar Maa, Rupkothar Kahini, Sanjher Baati"
Diana Danielle,No info,1 premio y 4 nominaciones,Reparto,"Sembunyi: Amukan Azazil, Hanyut, Imaginur"
Nur Fazura,No info,1 premio y 5 nominaciones,"Reparto, Banda sonora","Manisnya Cinta di Cappadocia, Gol & Gincu, Kami Histeria"
Nicholas Teo,No info,1 nominación,"Reparto, Banda sonora","Wu Di Shan Bao Mei, A Thousand Goodnights, Rhapsody in Blue"
Luke Dorsey,No info,No info,Reparto,"Young Grandpa, Lucid, Heard"
Tosin Buraimoh,No info,No info,Reparto,No info
Tina Chukwura,No info,No info,"Reparto, Producción, Guion","Desecrated, Saboa, Father of Today"
O'Femi Familoye,No info,No info,"Edición, Dirección, Dirección de fotografía y cámara","What If?, Love Is Enough, Dear Sister"
Jacob Anderton,No info,4 premios y 4 nominaciones,"Reparto, Producción, Dirección de la segunda unidad o asistencia a dirección","Lore, Give Them Wings, The Pay Day"
Rosie Dunjay,No info,No info,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Guion","Skin is Waterproof, Circle of Shadows, Call Me Back"
Alexander Geil,6 de noviembre de 2003,No info,"Reparto, Edición, Dirección","Tranquility - An Independent Film, Tranquility: Ghost Stories, The Black Horse - A Post Apocalyptic Short"
Gabriel Arricelli,No info,No info,Reparto,No info
Alexis Bauer,No info,No info,Reparto,No info
Laetitia Bauer,No info,No info,Reparto,No info
Sharayu Mahale,No info,9 premios y 5 nominaciones,"Reparto, Producción, Arte","Attaway General, Unmothered, Severance"
Braxton Michael,No info,1 premio,"Reparto, Dirección","Swamp, The Comedy News Hour, Oh Brother Felch Films"
Hellene Alabi-Williams,No info,2 nominaciones,"Reparto, Guion, Dirección",No info
Neils Williams,No info,1 premio y 2 nominaciones,"Guion, Edición, Producción",No info
Sagirah Young,No info,No info,Reparto,"African Twist, Stay, Pimpstress"
Joshua Haynes,No info,1 nominación,"Reparto, Dirección de la segunda unidad o asistencia a dirección","M.I.High, The Last Day Residing in Flat 2/2, The Film-Maker's Son"
Saul Davidson,No info,No info,Reparto,"Floored, UFO, Shed"
Cameron Christie,No info,No info,"Dirección, Reparto, Guion",No info
Victor Neri,No info,2 premios y 4 nominaciones,"Reparto, Banda sonora","A Short History of a Few Bad Things, Filipinas, BuyBust"
Jay Gonzaga,No info,1 nominación,"Reparto, Cámara y electricidad","Huling palabas, Ang probinsyano, Sakaling hindi makarating"
Publio Briones III,No info,1 premio y 6 nominaciones,"Reparto, Banda sonora","Confessional, A Short History of a Few Bad Things, Wanted: Border"
Adesola A. Osakalumi,No info,1 nominación,"Reparto, Equipos adicionales","Marido por sorpresa, Across the Universe, Escuela de rock"
Mark Cayne,No info,No info,Reparto,"FBI: Most Wanted, Herida, Ley y orden: Unidad de Víctimas Especiales"
Okanjobi Osakalumi,No info,No info,Reparto,No info
Alice Howell,No info,No info,"Reparto, Guion, Dirección","Crazy Fun Park (Serie de TV), Gente de barrio, Critical"
Jeffery Richards,No info,2 nominaciones,"Reparto, Edición, Producción","Devils Elbow, Bluebird, Blue Heelers"
Paloma Mariscal,No info,No info,"Reparto, Producción","Tu sigue que ya veras, Coulda, Woulda, Shoulda, Nervios de boda"
Paloma Mariscal,No info,No info,Reparto,"Territory, Rock Band vs Vampires, Flipante Noa!"
Juan Burgaleta,No info,No info,Reparto,"El Ministerio del Tiempo, Un cuerpo en venta, Cross the Line"
Caitlin Herst,No info,No info,"Reparto, Equipos adicionales","Just the Vampire Hunter, Vengeance at Yellow Creek, Beta"
L'Metrius Long,No info,No info,Reparto,No info
Kôta Fuji,No info,No info,"Reparto, Producción","Sakura, 125 Years Memory, The Drifting Post"
Miki Kamioka,No info,No info,Reparto,"Riaru: Kanzen naru kubinagaryû no hi, Naratâju, Joshi no jiken wa taitei toilet de okorunoda Part 1"
Daisuke Nagakura,No info,No info,Reparto,"Big Man Japan, Gachiban Worst Max, Urutoraman Tiga"
Tommy Dysart,24 de diciembre de 1935,No info,Reparto,"El hombre de Río Nevado, Prisoner, Contra el viento"
Seann William Scott,3 de octubre de 1976,5 premios y 8 nominaciones,"Reparto, Producción, Guion","American Pie, American Pie: ¡Menuda boda!, American Pie 2"
Clifton Collins Jr.,16 de junio de 1970,9 premios y 14 nominaciones en total,"Reparto, Producción, Dirección","Star Trek, Truman Capote, Traffic"
Steve Lemme,13 de noviembre de 1968,No info,"Producción, Guion, Reparto","Supermaderos, Club Desmadre, La fiesta de la cerveza: ¡Bebe hasta reventar!"
Louis-Philippe Desjardins,No info,No info,Reparto,"Chaos au camping!, Spice, Spice du Jour - Rencontre avec Nathan Bright B.C"
Simon Blachette,No info,No info,Reparto,No info
Harry Duff-Walker,No info,No info,Reparto,"The Mind's Eye, Concrete Pillow, The Man in the Suit"
Faustine Ghislain,No info,No info,Reparto,"The Mind's Eye, Captive, Dark Room"
Harrison Kendall,No info,No info,"Reparto, Dirección, Guion",No info
Vlad-Paul Ghilas,No info,No info,"Producción, Equipos adicionales, Dirección","Your Reality, Young, Young Men, Werewolf Santa"
Masashi Kawamata,No info,1 nominación,"Reparto, Guion, Dirección","Hibana no kioku, Error, Out"
Rosario Pardo,No info,5 premios y 4 nominaciones,"Reparto, Dirección, Guion","Cuéntame cómo pasó, Un billete a Nunca Jamás, Hubo un lugar"
Antonio Valero,24 de agosto de 1955,2 premios y 2 nominaciones,Reparto,"La forja de un rebelde, El color de las nubes, El hombre nervioso"
Stacey Bernstein,No info,No info,"Reparto, Dirección, Guion","Soul Connections, Wake-Up Call, The Audition"
Martina Biskupovic,No info,No info,Reparto,"Rattlesnake Point, Stalkers, Ghost Unicorn"
Jhony Elchoufani,No info,No info,Reparto,No info
Barbara-Audrey Bergeron,No info,No info,"Reparto, Guion, Localización","Monster Hunters, House of Britney, A Piece of Me"
Lena Burmenko,No info,15 premios y 18 nominaciones,"Reparto, Producción, Guion","Marked, Man of the Year: A Chester Sky, Exorcism"
John Krissilas,No info,21 premios y 19 nominaciones,"Producción, Dirección, Reparto","Marked, Man of the Year: A Chester Sky, Mulberry Lane"
Missy Cross,No info,1 nominación,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Guion y continuidad","She Who Must Burn, White Raven, El juego de los extraños"
Emma Jean Forth,No info,No info,Reparto,No info
Scott Keith,No info,No info,"Reparto, Dirección de fotografía y cámara","The Big Pop, Going Places, Digging for Shovels"
Heather Bowry,No info,No info,"Reparto, Dirección, Producción","Going Places, Wisp, The Big Pop"
Charles Donnelly,No info,No info,Reparto,"The Clan, Taggart, Jessie and the Elf Boy"
Iona,No info,No info,"Reparto, Equipos adicionales","Ra, Yagai play: Nozoki no nureba, Use the Eyeballs!"
Kôhei Nagano,No info,No info,Reparto,"Tsuyogari caponata, Bra to panty: Hentai ga ippai, Zetsurin tantei DX: Ai to in'yoku no baibu"
Ruby Nakamura,No info,No info,Reparto,"Gôsuto sukuwaddo, Onsen shikabane geisha, Disgraced Heaven"
Jessica Munna,No info,1 premio,"Reparto, Edición, Dirección","Guest, Democracy At Its Finest, Chin Up!"
Ariell Fletcher,No info,No info,Reparto,No info
Mitchell Hatter,No info,No info,"Reparto, Producción, Equipos adicionales","The Pseudo Shanghai, The Ugly Rug, Pool"
Chris Muckey,No info,No info,Reparto,"The Salience Project, Gufors, Book of Choices"
